TYPE,YTD CURTAILED MWH
08/09,12 ExDispatch,,System,SOLR,0,1
08/09,14 Economic,,Local,SOLR,71,311
08/09,16 Economic,,Local,SOLR,2,23
08/09,17 Economic,,Local,SOLR,7,38
08/09,17 ExDispatch,,Local,SOLR,0,
08/09,17 ExDispatch,,System,SOLR,0,
08/09,18 Economic,,Local,SOLR,0,4
08/09,18 ExDispatch,,Local,SOLR,0,0
08/09,19 Economic,,Local,SOLR,1,3
08/09,19 Economic,,System,SOLR,0,
TYPE,YTD CURTAILED MWH
LocalEconomic,"97,247"
LocalExDispatch,"1,413"
LocalSelfSchCut,"3,701"
SystemEconomic,"209,059"
SystemExDispatch,525
SystemSelfSchCut,828
TOTAL,"312,773"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/10,9 ExDispatch,,Local,SOLR,0,0
08/10,9 ExDispatch,,System,SOLR,0,
08/10,11 ExDispatch,,Local,SOLR,0,0
08/10,11 ExDispatch,,System,SOLR,0,
08/10,12 ExDispatch,,Local,SOLR,0,
08/10,12 ExDispatch,,System,SOLR,0,1
08/10,14 Economic,,Local,SOLR,12,99
08/10,15 Economic,,Local,SOLR,20,73
08/10,16 ExDispatch,,Local,SOLR,0,0
08/10,17 Economic,,Local,SOLR,1,6
08/10,17 ExDispatch,,Local,SOLR,0,0
08/10,18 Economic,,Local,SOLR,0,3
08/10,19 Economic,,Local,SOLR,0,
08/10,19 Economic,,System,SOLR,0,3
TYPE,YTD CURTAILED MWH
LocalEconomic,"97,272"
LocalExDispatch,"1,414"
LocalSelfSchCut,"3,701"
SystemEconomic,"209,059"
SystemExDispatch,525
SystemSelfSchCut,828
TOTAL,"312,799"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/11,9 ExDispatch,,System,SOLR,0,0
08/11,11 ExDispatch,,Local,SOLR,0,
08/11,11 ExDispatch,,System,SOLR,0,0
08/11,12 ExDispatch,,Local,SOLR,0,1
