DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/13,7 Economic,,Local,WIND,0,5
12/13,10 Economic,,Local,SOLR,205,474
12/13,10 Economic,,Local,WIND,9,11
12/13,10 Economic,,System,SOLR,3,
12/13,11 Economic,,Local,SOLR,286,393
12/13,11 Economic,,Local,WIND,14,11
12/13,12 Economic,,Local,SOLR,162,517
12/13,12 Economic,,Local,WIND,35,77
12/13,12 Economic,,System,SOLR,5,
12/13,13 Economic,,Local,SOLR,6,
12/13,13 Economic,,Local,WIND,79,107
12/13,13 Economic,,System,SOLR,110,305
12/13,13 Economic,,System,WIND,45,43
12/13,14 Economic,,Local,SOLR,0,
12/13,14 Economic,,Local,WIND,82,103
12/13,14 Economic,,System,SOLR,0,
12/13,14 Economic,,System,WIND,0,
12/13,15 Economic,,Local,SOLR,63,261
12/13,15 Economic,,Local,WIND,106,167
12/13,15 Economic,,System,SOLR,11,66
12/13,15 Economic,,System,WIND,13,
12/13,16 Economic,,Local,WIND,40,80
12/13,16 Economic,,System,SOLR,0,1
12/13,17 Economic,,Local,WIND,26,46
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/14,10 Economic,,Local,SOLR,3,39
12/14,10 Economic,,Local,WIND,1,7
12/14,11 Economic,,System,SOLR,0,2
12/14,14 Economic,,System,SOLR,0,
12/14,14 Economic,,System,WIND,0,5
12/14,15 Economic,,Local,WIND,42,60
12/14,15 Economic,,System,SOLR,0,
12/14,15 SelfSchCut,,Local,WIND,1,3
12/14,16 Economic,,Local,WIND,31,44
12/14,16 Economic,,System,SOLR,1,2
12/14,16 SelfSchCut,,Local,WIND,2,6
12/14,17 Economic,,Local,WIND,7,31
12/14,17 SelfSchCut,,Local,WIND,0,
12/14,18 Economic,,Local,WIND,3,39
12/14,18 SelfSchCut,,Local,WIND,0,2
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/15,14,Economic,Local,WIND,0,3
12/15,18,Economic,Local,WIND,24,80
12/15,19,Economic,Local,WIND,62,87
12/15,20,Economic,Local,WIND,41,82
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/16,9,Economic,System,SOLR,0,1
12/16,10,Economic,System,SOLR,16,190
12/16,10,Economic,System,WIND,16,145
12/16,11,Economic,System,SOLR,3,39
12/16,11,Economic,System,WIND,20,236
12/16,13,Economic,System,SOLR,53,398
12/16,13,Economic,System,WIND,55,230
12/16,14,Economic,System,SOLR,0,0
12/16,14,Economic,System,WIND,13,155
12/16,16,Economic,System,SOLR,0,2
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/17,3,Economic,System,WIND,3,23
12/17,9,Economic,Local,SOLR,44,154
12/17,10,Economic,Local,SOLR,114,
12/17,10,Economic,Local,WIND,2,
12/17,10,Economic,System,SOLR,83,528
12/17,10,Economic,System,WIND,18,59
12/17,11,Economic,Local,SOLR,34,
12/17,11,Economic,Local,WIND,1,
12/17,11,Economic,System,SOLR,329,514
12/17,11,Economic,System,WIND,32,60
12/17,12,Economic,Local,SOLR,129,
12/17,12,Economic,Local,WIND,2,
12/17,12,Economic,System,SOLR,36,381
12/17,12,Economic,System,WIND,10,31
12/17,13,Economic,Local,SOLR,122,363
12/17,13,Economic,Local,WIND,6,2
12/17,13,Economic,System,SOLR,0,2
12/17,14,Economic,Local,SOLR,264,
12/17,14,Economic,Local,WIND,4,
12/17,14,Economic,System,SOLR,198,697
12/17,14,Economic,System,WIND,2,5
12/17,15,Economic,Local,SOLR,36,
12/17,15,Economic,Local,WIND,0,
12/17,15,Economic,System,SOLR,541,877
12/17,15,Economic,System,WIND,7,10
12/17,16,Economic,Local,WIND,3,
12/17,16,Economic,System,SOLR,205,702
12/17,16,Economic,System,WIND,25,108
12/17,17,Economic,Local,WIND,0,2
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/18,9 Economic,,System,SOLR,49,324
12/18,9 Economic,,System,WIND,16,66
12/18,10 Economic,,Local,SOLR,6,9
12/18,10 Economic,,System,SOLR,2,13
12/18,10 Economic,,System,WIND,36,70
12/18,11 Economic,,System,SOLR,12,95
12/18,11 Economic,,System,WIND,23,64
12/18,12 Economic,,System,SOLR,210,492
12/18,12 Economic,,System,WIND,64,61
12/18,13 Economic,,System,SOLR,741,938
12/18,13 Economic,,System,WIND,53,48
12/18,14 Economic,,System,SOLR,340,492
12/18,14 Economic,,System,WIND,45,48
12/18,15 Economic,,System,SOLR,182,415
12/18,15 Economic,,System,WIND,41,51
12/18,16 Economic,,System,SOLR,180,576
12/18,16 Economic,,System,WIND,21,46
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/19,9 Economic,,System,SOLR,0,0
12/19,9 Economic,,System,WIND,4,41
12/19,10 Economic,,Local,SOLR,13,16
12/19,10 Economic,,System,SOLR,0,0
12/19,10 Economic,,System,WIND,0,
12/19,11 Economic,,Local,SOLR,110,337
12/19,11 Economic,,Local,WIND,3,5
12/19,11 SelfSchCut,,Local,SOLR,1,
12/19,12 Economic,,Local,SOLR,186,195
12/19,12 Economic,,Local,WIND,8,9
12/19,12 Economic,,System,SOLR,41,124
12/19,12 Economic,,System,WIND,11,38
12/19,13 Economic,,Local,SOLR,3,
12/19,13 Economic,,System,SOLR,86,301
12/19,13 Economic,,System,WIND,10,14
12/19,14 Economic,,Local,SOLR,11,
12/19,14 Economic,,System,SOLR,5,44
12/19,14 Economic,,System,WIND,2,25
12/19,15 Economic,,Local,SOLR,12,14
12/19,15 Economic,,System,SOLR,1,2
12/19,16 Economic,,Local,SOLR,0,3
12/19,16 Economic,,System,SOLR,0,
12/19,22 Economic,,Local,WIND,102,124
12/19,23 Economic,,Local,WIND,94,108
12/19,24 Economic,,Local,WIND,49,65
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/20,1 Economic,,Local,WIND,69,93
12/20,2 Economic,,Local,WIND,25,51
12/20,9 Economic,,System,SOLR,1,0
12/20,9 Economic,,System,WIND,3,24
12/20,10 Economic,,Local,SOLR,1,1
12/20,10 Economic,,Local,WIND,41,75
12/20,10 Economic,,System,SOLR,1,1
12/20,11 Economic,,System,SOLR,0,0
12/20,12 Economic,,Local,SOLR,17,108
12/20,12 Economic,,Local,WIND,3,6
12/20,12 Economic,,System,SOLR,0,
12/20,13 Economic,,Local,SOLR,173,387
12/20,13 Economic,,Local,WIND,36,16
12/20,13 Economic,,System,SOLR,1,1
12/20,13 Economic,,System,WIND,12,
12/20,14 Economic,,Local,SOLR,187,381
12/20,14 Economic,,Local,WIND,3,2
12/20,14 Economic,,System,SOLR,1,1
12/20,15 Economic,,Local,SOLR,18,73
12/20,15 Economic,,Local,WIND,5,3
12/20,15 Economic,,System,SOLR,1,2
12/20,16 Economic,,Local,WIND,33,46
12/20,17 Economic,,Local,WIND,2,10
12/20,22 Economic,,Local,WIND,32,71
12/20,23 Economic,,Local,WIND,101,148
12/20,24 Economic,,Local,WIND,102,140
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/21,1,Economic,Local,WIND,101,143
12/21,2,Economic,Local,WIND,99,112
12/21,3,Economic,Local,WIND,40,105
12/21,12,Economic,System,SOLR,0,0
12/21,13,Economic,System,SOLR,0,2
12/21,15,Economic,System,SOLR,0,2
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/22,9,Economic,System,SOLR,0,2
12/22,10,Economic,System,SOLR,0,2
12/22,11,Economic,System,SOLR,6,62
12/22,12,Economic,Local,SOLR,23,147
12/22,12,Economic,System,SOLR,0,
12/22,13,Economic,Local,SOLR,0,2
12/22,14,Economic,Local,SOLR,0,2
12/22,14,Economic,System,SOLR,4,52
12/22,15,Economic,System,SOLR,1,2
12/22,23,Economic,Local,WIND,48,129
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/23,1,Economic,Local,WIND,74,135
12/23,2,Economic,Local,WIND,125,158
12/23,3,Economic,Local,WIND,116,145
12/23,4,Economic,Local,WIND,118,140
12/23,5,Economic,Local,WIND,153,180
12/23,6,Economic,Local,WIND,153,195
12/23,7,Economic,Local,WIND,152,219
12/23,8,Economic,Local,WIND,89,147
12/23,10,Economic,Local,SOLR,6,69
12/23,10,Economic,System,SOLR,0,
12/23,11,Economic,System,SOLR,0,3
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/24,2 Economic,,Local,WIND,9,55
12/24,3 Economic,,Local,WIND,14,81
12/24,4 Economic,,System,WIND,21,149
12/24,10 Economic,,System,SOLR,0,2
12/24,11 Economic,,System,SOLR,3,33
12/24,12 Economic,,System,SOLR,0,1
12/24,12 Economic,,System,WIND,8,79
12/24,13 Economic,,Local,WIND,2,14
12/24,14 Economic,,Local,WIND,1,
12/24,14 Economic,,System,SOLR,0,2
12/24,14 Economic,,System,WIND,2,20
12/24,15 Economic,,System,SOLR,5,29
12/24,15 Economic,,System,WIND,0,
12/24,16 Economic,,System,SOLR,0,2
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/25,9 Economic,,System,SOLR,0,0
12/25,9 Economic,,System,WIND,5,64
12/25,10 Economic,,System,SOLR,0,1
12/25,10 Economic,,System,WIND,8,33
12/25,11 Economic,,Local,WIND,1,
12/25,11 Economic,,System,SOLR,107,394
12/25,11 Economic,,System,WIND,14,30
12/25,12 Economic,,Local,WIND,26,28
12/25,12 Economic,,System,SOLR,646,981
12/25,12 Economic,,System,WIND,32,98
12/25,13 Economic,,Local,WIND,24,
12/25,13 Economic,,System,SOLR,388,1088
12/25,13 Economic,,System,WIND,17,31
12/25,14 Economic,,Local,SOLR,9,
12/25,14 Economic,,System,SOLR,205,738
12/25,14 Economic,,System,WIND,17,22
12/25,14 SelfSchCut,,Local,SOLR,0,
12/25,15 Economic,,Local,SOLR,2,
12/25,15 Economic,,System,SOLR,146,525
12/25,15 Economic,,System,WIND,8,16
12/25,16 Economic,,System,SOLR,1,2
12/25,17 Economic,,Local,WIND,1,13
12/25,20 Economic,,Local,WIND,0,0
12/25,23 Economic,,Local,WIND,19,60
12/25,24 Economic,,Local,WIND,48,67
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/26,4 Economic,,Local,WIND,3,12
12/26,5 Economic,,Local,WIND,53,95
12/26,6 Economic,,Local,WIND,114,171
12/26,7 Economic,,Local,WIND,117,153
12/26,8 Economic,,Local,WIND,150,246
12/26,9 Economic,,Local,WIND,130,117
12/26,9 Economic,,System,SOLR,67,327
12/26,9 Economic,,System,WIND,28,33
12/26,10 Economic,,Local,WIND,99,122
12/26,10 Economic,,System,SOLR,26,44
12/26,10 Economic,,System,WIND,24,30
12/26,11 Economic,,Local,WIND,89,175
12/26,11 Economic,,System,SOLR,0,
12/26,11 Economic,,System,WIND,4,
12/26,12 Economic,,Local,SOLR,2,13
12/26,12 Economic,,Local,WIND,34,75
12/26,12 Economic,,System,SOLR,0,
12/26,13 Economic,,Local,WIND,6,
12/26,13 Economic,,System,SOLR,69,492
12/26,13 Economic,,System,WIND,10,59
12/26,14 Economic,,Local,SOLR,10,
12/26,14 Economic,,Local,WIND,0,
12/26,14 Economic,,System,SOLR,12,133
12/26,14 Economic,,System,WIND,6,72
12/26,15 Economic,,Local,SOLR,1,7
12/26,15 Economic,,System,SOLR,0,
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/27,9,Economic,Local,SOLR,1,
12/27,9,Economic,System,SOLR,12,145
12/27,9,Economic,System,WIND,7,21
12/27,10,Economic,Local,SOLR,14,14
12/27,10,Economic,System,SOLR,98,407
12/27,10,Economic,System,WIND,9,20
12/27,10,SelfSchCut,Local,SOLR,0,
12/27,11,Economic,Local,SOLR,4,
12/27,11,Economic,System,SOLR,126,445
12/27,11,Economic,System,WIND,16,19
12/27,12,Economic,System,SOLR,502,723
12/27,12,Economic,System,WIND,19,18
12/27,13,Economic,Local,SOLR,5,
