DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/08,12 Economic,,Local,SOLR,266,12
04/08,12 Economic,,Local,WIND,1,
04/08,12 Economic,,System,SOLR,1358,1719
04/08,12 Economic,,System,WIND,54,271
04/08,12 SelfSchCut,,Local,SOLR,11,
04/08,13 Economic,,Local,SOLR,146,
04/08,13 Economic,,Local,WIND,3,
04/08,13 Economic,,System,SOLR,1548,1680
04/08,13 Economic,,System,WIND,215,414
04/08,14 Economic,,Local,SOLR,256,
04/08,14 Economic,,Local,WIND,11,
04/08,14 Economic,,System,SOLR,1263,1617
04/08,14 Economic,,System,WIND,104,368
04/08,15 Economic,,System,SOLR,1463,1500
04/08,15 Economic,,System,WIND,51,178
04/08,16 Economic,,Local,SOLR,490,
04/08,16 Economic,,Local,WIND,31,
04/08,16 Economic,,System,SOLR,954,1496
04/08,16 Economic,,System,WIND,66,268
04/08,17 Economic,,System,SOLR,1035,1456
04/08,17 Economic,,System,WIND,40,201
04/08,18 Economic,,System,SOLR,401,1270
04/08,18 Economic,,System,WIND,15,90
04/08,19 Economic,,Local,SOLR,0,
04/08,19 Economic,,System,SOLR,0,2
TYPE,YTD CURTAILED MWH
LocalEconomic,"65,971"
LocalExDispatch,272
LocalSelfSchCut,"2,853"
SystemEconomic,"163,383"
SystemExDispatch,74
SystemSelfSchCut,550
TOTAL,"233,104"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
04/09,9 Economic,,Local,SOLR,2,12
04/09,10 Economic,,System,SOLR,5,31
04/09,11 Economic,,Local,SOLR,84,12
04/09,11 Economic,,System,SOLR,46,247
04/09,11 SelfSchCut,,Local,SOLR,7,23
04/09,12 Economic,,Local,SOLR,62,17
04/09,12 Economic,,System,SOLR,316,695
04/09,12 Economic,,System,WIND,0,0
04/09,12 SelfSchCut,,Local,SOLR,1,1
04/09,13 Economic,,Local,SOLR,111,27
04/09,13 Economic,,System,SOLR,169,504
04/09,14 Economic,,Local,SOLR,48,30
04/09,14 Economic,,System,SOLR,375,672
04/09,15 Economic,,Local,SOLR,75,27
04/09,15 Economic,,System,SOLR,430,844
04/09,15 Economic,,System,WIND,0,
04/09,16 Economic,,Local,SOLR,62,19
04/09,16 Economic,,System,SOLR,323,884
04/09,16 Economic,,System,WIND,0,0
04/09,17 Economic,,Local,SOLR,53,247
04/09,17 Economic,,System,SOLR,59,
04/09,18 Economic,,Local,SOLR,2,9
04/09,19 Economic,,System,SOLR,1,5
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/10,8 Economic,,Local,SOLR,1,6
04/10,9 Economic,,Local,SOLR,7,11
04/10,9 Economic,,System,SOLR,3,14
04/10,10 Economic,,Local,SOLR,7,8
04/10,10 Economic,,System,SOLR,8,15
04/10,11 Economic,,Local,SOLR,0,
04/10,11 Economic,,System,SOLR,1,15
04/10,11 ExDispatch,,Local,SOLR,2,
04/10,11 ExDispatch,,System,SOLR,1,9
04/10,11 SelfSchCut,,Local,SOLR,0,
04/10,12 Economic,,Local,SOLR,3,25
04/10,12 ExDispatch,,Local,SOLR,4,12
04/10,12 ExDispatch,,System,SOLR,8,
04/10,13 Economic,,Local,SOLR,1,3
04/10,13 ExDispatch,,Local,SOLR,6,13
04/10,13 ExDispatch,,System,SOLR,6,
04/10,14 Economic,,Local,SOLR,1,1
04/10,14 Economic,,System,SOLR,14,72
04/10,14 ExDispatch,,Local,SOLR,11,12
04/10,14 ExDispatch,,System,SOLR,1,
04/10,15 Economic,,Local,SOLR,6,4
04/10,15 Economic,,System,SOLR,15,47
04/10,15 ExDispatch,,Local,SOLR,9,12
04/10,16 Economic,,Local,SOLR,7,7
04/10,16 Economic,,System,SOLR,0,0
04/10,16 ExDispatch,,Local,SOLR,9,11
04/10,16 ExDispatch,,System,SOLR,0,0
04/10,17 Economic,,Local,SOLR,6,23
04/10,17 Economic,,Local,WIND,0,
04/10,17 Economic,System,SOLR,10,
04/10,17 ExDispatch,Local,SOLR,2,3
04/10,17 ExDispatch,System,SOLR,0,
04/10,18 Economic,Local,SOLR,1,
04/10,18 Economic,System,SOLR,29,168
04/10,18 Economic,System,WIND,0,
04/10,19 Economic,Local,SOLR,1,3
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/11,12 Economic,,Local,SOLR,4,16
04/11,12 Economic,,System,SOLR,1,
04/11,13 Economic,,Local,SOLR,15,11
04/11,13 Economic,,System,SOLR,106,525
04/11,13 Economic,,System,WIND,0,1
04/11,14 Economic,,Local,SOLR,14,38
04/11,14 Economic,,System,SOLR,1,
04/11,15 Economic,,Local,SOLR,21,9
04/11,15 Economic,,System,SOLR,11,39
04/11,16 Economic,,Local,SOLR,48,335
04/11,16 Economic,,Local,WIND,5,32
04/11,16 Economic,,System,SOLR,32,
04/11,16 Economic,,System,WIND,4,
04/11,17 Economic,,Local,SOLR,2,1
04/11,17 Economic,,System,SOLR,3,18
04/11,19 Economic,,Local,SOLR,0,1
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/12,5 Economic,,Local,WIND,0,0
04/12,8 Economic,,System,SOLR,4,34
04/12,9 Economic,,Local,SOLR,1,
04/12,9 Economic,,System,SOLR,213,489
04/12,10 Economic,,Local,SOLR,4,1
04/12,10 Economic,,System,SOLR,9,87
04/12,11 Economic,,Local,SOLR,8,12
04/12,12 Economic,,Local,SOLR,8,
04/12,12 Economic,,System,SOLR,7,25
04/12,13 Economic,,Local,SOLR,2,2
04/12,13 Economic,,System,SOLR,12,40
04/12,13 Economic,,System,WIND,4,15
04/12,14 Economic,,Local,SOLR,5,60
04/12,14 SelfSchCut,,Local,SOLR,0,2
04/12,15 Economic,,Local,SOLR,2,5
04/12,16 Economic,,Local,SOLR,2,15
04/12,17 Economic,,Local,SOLR,3,17
04/12,17 Economic,,System,SOLR,1,
04/12,17 SelfSchCut,,Local,SOLR,0,
04/12,18 Economic,,Local,SOLR,20,225
04/12,18 Economic,,System,SOLR,3,
04/12,19 Economic,,Local,SOLR,0,
04/12,19 Economic,,System,SOLR,7,10
04/12,20 Economic,,System,SOLR,3,10
TYPE,YTD CURTAILED MWH
LocalEconomic,"61,691"
LocalExDispatch,50
LocalSelfSchCut,"2,761"
SystemEconomic,"137,559"
SystemExDispatch,24
SystemSelfSchCut,550
TOTAL,"202,634"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
04/13,1 Economic,,Local,WIND,115,212
04/13,2 Economic,,Local,WIND,20,87
04/13,3 Economic,,Local,WIND,31,94
04/13,4 Economic,,Local,WIND,25,84
04/13,5 Economic,,Local,WIND,4,24
04/13,8 Economic,,Local,SOLR,0,5
04/13,9 Economic,,Local,SOLR,3,
04/13,9 Economic,,System,SOLR,4,13
04/13,10 Economic,,Local,SOLR,1,
04/13,10 Economic,,System,SOLR,0,
04/13,10 SelfSchCut,,Local,WIND,3,33
04/13,11 Economic,,Local,SOLR,68,3
04/13,11 Economic,,System,SOLR,353,1354
04/13,11 Economic,,System,WIND,5,9
04/13,12 Economic,,Local,SOLR,110,3
04/13,12 Economic,,Local,WIND,0,
04/13,12 Economic,,System,SOLR,427,1192
04/13,12 Economic,,System,WIND,4,3
04/13,13 Economic,,Local,SOLR,132,271
04/13,13 Economic,,System,SOLR,39,
04/13,15 Economic,,Local,SOLR,41,225
04/13,15 Economic,,System,SOLR,43,
04/13,16 Economic,,Local,SOLR,84,267
04/13,16 Economic,,System,SOLR,56,
04/13,17 Economic,,Local,SOLR,30,
04/13,17 Economic,,System,SOLR,116,201
04/13,18 Economic,,Local,SOLR,56,392
04/13,18 Economic,,Local,WIND,6,69
04/13,18 Economic,,System,SOLR,1,
04/13,18 Economic,,System,WIND,0,
04/13,19 Economic,,Local,SOLR,115,326
04/13,19 Economic,Local,WIND,76,182
04/13,19 Economic,System,SOLR,5,
04/13,23 Economic,Local,WIND,3,39
04/13,24 Economic,Local,WIND,30,125
TYPE,YTD CURTAILED MWH
LocalEconomic,"62,302"
LocalExDispatch,50
LocalSelfSchCut,"2,761"
SystemEconomic,"145,608"
SystemExDispatch,24
SystemSelfSchCut,550
TOTAL,"211,295"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
04/14,1 Economic,,Local,WIND,37,102
04/14,8 Economic,,Local,SOLR,0,
04/14,8 Economic,,System,SOLR,175,823
04/14,8 Economic,,System,WIND,3,11
04/14,9 Economic,,Local,SOLR,197,
04/14,9 Economic,,Local,WIND,0,
04/14,9 Economic,,System,SOLR,564,1197
04/14,9 Economic,,System,WIND,2,3
04/14,10 Economic,,System,SOLR,272,677
04/14,10 Economic,,System,WIND,0,1
04/14,11 Economic,,Local,SOLR,61,555
04/14,11 Economic,,Local,WIND,0,2
04/14,11 Economic,,System,SOLR,356,570
04/14,11 Economic,,System,WIND,1,
04/14,12 Economic,,Local,SOLR,45,92
04/14,12 Economic,,System,SOLR,496,680
04/14,12 Economic,,System,WIND,0,1
04/14,13 Economic,,Local,SOLR,42,11
04/14,13 Economic,,System,SOLR,1059,1307
04/14,13 Economic,,System,WIND,0,0
04/14,13 SelfSchCut,,Local,SOLR,0,
04/14,14 Economic,,Local,SOLR,11,11
04/14,14 Economic,,System,SOLR,1054,1215
04/14,14 Economic,,System,WIND,0,0
04/14,15 Economic,,Local,SOLR,120,11
04/14,15 Economic,,Local,WIND,0,
04/14,15 Economic,,System,SOLR,1150,1572
04/14,15 Economic,,System,WIND,0,0
04/14,16 Economic,,Local,SOLR,9,12
04/14,16 Economic,,System,SOLR,1270,1444
04/14,16 Economic,,System,WIND,0,0
04/14,17 Economic,Local,SOLR,5,6
04/14,17 Economic,System,SOLR,1111,1378
04/14,17 Economic,System,WIND,0,0
04/14,18 Economic,System,SOLR,530,1326
04/14,18 Economic,System,WIND,0,1
04/14,19 Economic,Local,SOLR,83,315
04/14,19 Economic,Local,WIND,0,0
04/14,19 Economic,System,SOLR,3,
TYPE,YTD CURTAILED MWH
LocalEconomic,"62,628"
LocalExDispatch,50
LocalSelfSchCut,"2,761"
SystemEconomic,"148,656"
SystemExDispatch,24
SystemSelfSchCut,550
TOTAL,"214,669"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
04/15,4 Economic,,Local,WIND,3,33
04/15,8 Economic,,Local,SOLR,0,
04/15,8 Economic,,System,SOLR,2,7
04/15,9 Economic,,Local,SOLR,1,
04/15,9 Economic,,System,SOLR,417,940
04/15,9 Economic,,System,WIND,0,0
04/15,10 Economic,,Local,SOLR,5,
04/15,10 Economic,,System,SOLR,252,830
04/15,10 Economic,,System,WIND,0,0
04/15,11 Economic,,Local,SOLR,11,13
04/15,11 Economic,,System,SOLR,305,468
04/15,11 Economic,,System,WIND,0,
04/15,12 Economic,,Local,SOLR,14,15
04/15,12 Economic,,System,SOLR,629,787
04/15,12 Economic,,System,WIND,1,0
04/15,13 Economic,,Local,SOLR,14,14
04/15,13 Economic,,System,SOLR,877,1055
